,Address,Price,Area,Beds,Full Baths,Half Baths,Locality,Lot Size
0,0 Gateway,"$725,000",,,,,"Rock Springs, WY 82901",
1,1003 Winchester Blvd.,"$452,900",,4,4,,"Rock Springs, WY 82901",0.21 Acres
2,600 Talladega,"$396,900","3,154",5,3,,"Rock Springs, WY 82901",
3,3239 Spearhead Way,"$389,900","3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre,"
4,522 Emerald Street,"$254,000","1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
5,1302 Veteran's Drive,"$252,900","1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres
6,1021 Cypress Cir,"$210,000","1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
7,913 Madison Dr,"$209,000","1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
8,1344 Teton Street,"$199,900","1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
9,4 Minnies Lane,"$196,900","1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres
10,0 Gateway,"$725,000",,,,,"Rock Springs, WY 82901",
11,1003 Winchester Blvd.,"$452,900",,4,4,,"Rock Springs, WY 82901",0.21 Acres
12,600 Talladega,"$396,900","3,154",5,3,,"Rock Springs, WY 82901",
13,3239 Spearhead Way,"$389,900","3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre,"
14,522 Emerald Street,"$254,000","1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
15,1302 Veteran's Drive,"$252,900","1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres
16,1021 Cypress Cir,"$210,000","1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
17,913 Madison Dr,"$209,000","1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
18,1344 Teton Street,"$199,900","1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
19,4 Minnies Lane,"$196,900","1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres
20,0 Gateway,"$725,000",,,,,"Rock Springs, WY 82901",
21,1003 Winchester Blvd.,"$452,900",,4,4,,"Rock Springs, WY 82901",0.21 Acres
22,600 Talladega,"$396,900","3,154",5,3,,"Rock Springs, WY 82901",
23,3239 Spearhead Way,"$389,900","3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre,"
24,522 Emerald Street,"$254,000","1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
25,1302 Veteran's Drive,"$252,900","1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres
26,1021 Cypress Cir,"$210,000","1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre,"
27,913 Madison Dr,"$209,000","1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
28,1344 Teton Street,"$199,900","1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre,"
29,4 Minnies Lane,"$196,900","1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres
